 Cost Rank , PLID (Masked) , Sales Coverage Code , SCMS Units,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,SMB,"1,968","1,625","1,136","1,700","1,281","1,071","1,139","1,550",893,943,"2,035",477,"1,082"
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),COMMERCIAL,69,54,84,75,83,61,86,105,70,184,50,75,62
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),ENTERPRISE,59,146,68,131,87,110,104,124,147,102,116,163,159
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),OTHER,"1,398",682,647,945,"1,461",641,679,927,"1,006",692,"1,039",881,945
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),PUBLIC SECTOR,"1,331",814,933,"1,295","2,114",787,812,"1,709","1,662","1,152",806,"1,349","1,839"
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),SERVICE PROVIDER,23,18,17,14,16,20,12,38,19,55,80,33,22
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),SMB,18,2,6,6,9,28,26,26,7,11,2,13,8
8,SWITCH Enterprise 25G Fiber,COMMERCIAL,188,211,196,228,198,205,227,323,368,417,279,462,341
8,SWITCH Enterprise 25G Fiber,ENTERPRISE,123,156,367,367,274,211,233,375,340,195,380,324,518
8,SWITCH Enterprise 25G Fiber,OTHER,"1,111",893,804,"1,069","1,233",925,931,"1,573","1,351","1,563","1,361","1,630","1,309"
8,SWITCH Enterprise 25G Fiber,PUBLIC SECTOR,505,662,443,756,491,775,565,615,515,715,640,"1,208",774
8,SWITCH Enterprise 25G Fiber,SERVICE PROVIDER,8,33,138,-60,35,88,18,66,128,83,138,141,151
8,SWITCH Enterprise 25G Fiber,SMB,13,24,38,61,39,27,44,53,49,45,68,68,43
9,SWITCH Enterprise 24-Port UPOE,COMMERCIAL,120,153,81,214,101,119,196,103,888,137,199,180,87
9,SWITCH Enterprise 24-Port UPOE,ENTERPRISE,601,"1,328",502,341,536,173,165,341,480,427,395,503,319
9,SWITCH Enterprise 24-Port UPOE,OTHER,"1,757","1,102","1,040",952,"2,656",707,842,"1,096",923,969,795,"1,569","1,534"
9,SWITCH Enterprise 24-Port UPOE,PUBLIC SECTOR,"1,199",743,"1,193","1,021","1,260",453,700,581,"1,210",487,682,649,"1,279"
9,SWITCH Enterprise 24-Port UPOE,SERVICE PROVIDER,6,93,21,52,46,19,58,66,41,255,40,32,69
9,SWITCH Enterprise 24-Port UPOE,SMB,12,15,27,108,17,44,68,27,103,35,50,30,14
10,ROUTER Enterprise Edge 10G/40G,COMMERCIAL,16,40,16,26,20,26,22,54,38,58,36,45,37
10,ROUTER Enterprise Edge 10G/40G,ENTERPRISE,70,131,171,215,95,168,229,162,143,262,177,181,203
10,ROUTER Enterprise Edge 10G/40G,OTHER,133,119,106,146,162,107,134,171,173,140,126,170,153
10,ROUTER Enterprise Edge 10G/40G,PUBLIC SECTOR,56,71,111,34,66,61,85,69,137,65,484,119,90
10,ROUTER Enterprise Edge 10G/40G,SERVICE PROVIDER,8,29,33,17,11,11,24,56,10,19,28,18,46
10,ROUTER Enterprise Edge 10G/40G,SMB,4,0,3,6,1,2,3,6,2,1,7,-1,1
11,SECURITY FIREWALL Next-Generation_2,COMMERCIAL,16,33,23,37,22,16,20,26,12,20,45,44,16
11,SECURITY FIREWALL Next-Generation_2,ENTERPRISE,43,36,60,142,12,87,39,97,21,38,67,77,44
11,SECURITY FIREWALL Next-Generation_2,OTHER,47,45,102,111,64,69,117,53,91,80,117,104,113
11,SECURITY FIREWALL Next-Generation_2,PUBLIC SECTOR,53,13,68,94,68,63,51,65,31,71,58,57,46
11,SECURITY FIREWALL Next-Generation_2,SERVICE PROVIDER,6,20,5,58,6,4,2,22,8,25,20,50,33
11,SECURITY FIREWALL Next-Generation_2,SMB,0,3,0,2,1,2,0,2,0,2,0,0,0
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,COMMERCIAL,398,466,607,620,623,"1,103",928,771,987,748,591,"1,049",590
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,ENTERPRISE,"1,178","1,007","2,157",854,"1,214",819,871,"1,238","1,031",917,982,979,"1,485"
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,OTHER,"3,142","2,547",487,"2,666","2,303","2,322","1,807","2,416","1,608","2,979","2,591","1,978","1,455"
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,PUBLIC SECTOR,281,567,768,"1,060",598,597,492,850,397,371,464,248,305
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,SERVICE PROVIDER,102,36,52,32,104,83,102,6,55,39,46,17,28
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,SMB,75,67,129,114,77,109,191,108,92,110,97,86,20
13,SWITCH Core 100G Fiber,COMMERCIAL,57,34,41,88,23,84,79,51,13,46,34,85,43
13,SWITCH Core 100G Fiber,ENTERPRISE,142,92,64,103,87,130,66,119,78,81,92,83,53
13,SWITCH Core 100G Fiber,OTHER,485,199,50,155,120,112,371,280,640,270,310,240,175
13,SWITCH Core 100G Fiber,PUBLIC SECTOR,96,119,204,130,215,165,182,107,159,158,107,264,184
13,SWITCH Core 100G Fiber,SERVICE PROVIDER,50,50,20,31,18,26,9,147,35,83,19,40,90
13,SWITCH Core 100G Fiber,SMB,2,2,5,22,8,9,8,9,2,8,2,6,1
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,COMMERCIAL,,,,,,258,161,285,653,"1,517",795,"1,378","1,133"
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,ENTERPRISE,,,,,,1,128,576,281,"1,399",477,"1,195","1,595"
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,OTHER,,,,,,98,135,"1,022","1,600","1,662","1,496","3,448","2,011"
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,PUBLIC SECTOR,,,,,,,70,144,606,545,488,"1,355",893
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,SERVICE PROVIDER,,,,,,1,9,12,41,23,397,190,20
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,SMB,,,,,,140,21,181,11,34,58,154,78
15,SECURITY FIREWALL Next-Generation_1,COMMERCIAL,26,28,41,36,13,32,57,29,24,44,67,43,38
15,SECURITY FIREWALL Next-Generation_1,ENTERPRISE,14,62,36,64,19,17,67,65,15,63,53,27,28
15,SECURITY FIREWALL Next-Generation_1,OTHER,49,64,91,121,85,71,89,159,97,124,124,139,126
15,SECURITY FIREWALL Next-Generation_1,PUBLIC SECTOR,23,58,37,57,66,40,73,70,16,72,83,132,108
15,SECURITY FIREWALL Next-Generation_1,SERVICE PROVIDER,8,7,26,9,7,13,28,6,3,8,27,6,24
15,SECURITY FIREWALL Next-Generation_1,SMB,6,2,11,0,2,2,0,0,2,1,3,2,0
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,COMMERCIAL,29,55,116,252,196,155,166,415,336,364,418,260,174
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,ENTERPRISE,647,72,"1,653",317,137,93,81,119,241,318,69,75,349
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,OTHER,654,"1,047",659,954,750,749,911,938,494,"1,288","1,425","1,153",958
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,PUBLIC SECTOR,93,174,95,79,66,95,143,456,346,196,947,171,203
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,SERVICE PROVIDER,10,0,0,0,2,7,2,9,7,17,18,0,21
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,SMB,0,26,64,43,13,6,40,70,69,35,11,115,18
17,SWITCH Enterprise 24-Port PoE+ Compact,COMMERCIAL,17,15,64,25,20,84,125,153,203,195,148,215,83
17,SWITCH Enterprise 24-Port PoE+ Compact,ENTERPRISE,2,64,25,26,7,42,46,58,42,146,197,88,509
17,SWITCH Enterprise 24-Port PoE+ Compact,OTHER,222,288,309,387,556,502,598,704,489,687,"1,406",973,900
17,SWITCH Enterprise 24-Port PoE+ Compact,PUBLIC SECTOR,11,56,21,122,42,25,47,115,65,163,140,80,70
17,SWITCH Enterprise 24-Port PoE+ Compact,SERVICE PROVIDER,17,0,0,16,9,11,1,4,0,4,1,14,0
17,SWITCH Enterprise 24-Port PoE+ Compact,SMB,5,20,98,32,7,5,7,10,90,26,29,54,90
18,SWITCH Data Center 25G/100G Leaf,COMMERCIAL,,,,8,63,107,86,115,90,113,77,140,95
18,SWITCH Data Center 25G/100G Leaf,ENTERPRISE,,,,2,20,39,34,68,62,54,65,127,42
18,SWITCH Data Center 25G/100G Leaf,OTHER,,,,47,181,361,388,513,394,491,421,607,453
18,SWITCH Data Center 25G/100G Leaf,PUBLIC SECTOR,,,,14,52,124,92,97,131,88,111,221,65
18,SWITCH Data Center 25G/100G Leaf,SERVICE PROVIDER,,,,0,5,8,26,51,31,37,28,111,37
18,SWITCH Data Center 25G/100G Leaf,SMB,,,,14,5,20,2,12,23,24,14,43,23
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,COMMERCIAL,"1,503","1,133","1,110","1,591",906,909,830,"1,123",925,"1,054",628,652,393
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,ENTERPRISE,"2,180","3,475","1,860","1,449","1,233","1,908",488,589,556,"1,075","2,978","1,278","1,031"
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,OTHER,"4,259","10,347","7,223","5,427","4,415","4,861","6,519","5,606","5,070","5,695","5,363","6,912","4,451"
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,PUBLIC SECTOR,767,594,189,226,800,799,745,"1,185",294,166,335,337,"1,246"
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,SERVICE PROVIDER,-29,213,104,96,3,27,21,111,1,22,452,230,12
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,SMB,415,189,205,319,460,138,150,256,132,144,164,127,128
20,SWITCH Data Center 100G Spine,COMMERCIAL,-102,12,8,22,28,13,40,31,18,47,18,69,26
20,SWITCH Data Center 100G Spine,ENTERPRISE,12,54,47,44,31,13,38,126,37,38,82,36,66
20,SWITCH Data Center 100G Spine,OTHER,38,28,87,50,51,84,207,249,441,298,394,241,297
20,SWITCH Data Center 100G Spine,PUBLIC SECTOR,27,28,45,42,27,95,64,29,32,93,20,53,71
20,SWITCH Data Center 100G Spine,SERVICE PROVIDER,38,6,6,15,10,13,12,11,49,33,9,40,42
20,SWITCH Data Center 100G Spine,SMB,0,0,2,2,1,1,0,4,0,0,2,2,4
21,SWITCH Core 100G/400G Fiber,COMMERCIAL,28,7,6,10,11,17,0,27,0,10,12,27,7
21,SWITCH Core 100G/400G Fiber,ENTERPRISE,9,36,37,12,0,56,19,22,8,54,53,29,15
21,SWITCH Core 100G/400G Fiber,OTHER,6,48,15,9,30,52,51,90,25,47,85,78,120
21,SWITCH Core 100G/400G Fiber,PUBLIC SECTOR,28,23,20,48,33,11,35,27,25,70,25,78,66
21,SWITCH Core 100G/400G Fiber,SERVICE PROVIDER,4,0,0,2,0,1,2,6,48,44,24,12,0
21,SWITCH Core 100G/400G Fiber,SMB,0,1,9,0,,0,-7,2,0,,,3,0
22,IP PHONE Enterprise Desk,COMMERCIAL,"2,027","2,197","7,087","8,718","2,248","5,322","1,846","4,548","3,151","11,925","2,213","4,204","2,710"
22,IP PHONE Enterprise Desk,ENTERPRISE,"2,689","2,391","4,747","2,696","2,705","13,795","6,029","1,901","6,251","2,110","1,427","2,087",728
22,IP PHONE Enterprise Desk,OTHER,"24,910","14,251","16,221","21,277","16,451","10,060","14,209","15,552","13,191","6,387","7,393","8,753","5,119"
22,IP PHONE Enterprise Desk,PUBLIC SECTOR,"12,949","12,625","15,079","8,949","7,099","10,828","11,617","2,805","7,461","3,377","10,401","3,796","4,891"
22,IP PHONE Enterprise Desk,SERVICE PROVIDER,893,466,137,2,30,60,-30,0,0,336,0,9,10
22,IP PHONE Enterprise Desk,SMB,47,385,132,131,213,90,84,130,126,278,133,106,7
23,ROUTER Branch 4-Port PoE,COMMERCIAL,-190,45,244,99,103,74,221,67,68,107,60,145,124
23,ROUTER Branch 4-Port PoE,ENTERPRISE,"1,974",203,"2,103",187,99,180,165,506,"1,971",167,"1,320",460,982
23,ROUTER Branch 4-Port PoE,OTHER,"1,753","3,341","5,520","9,853","2,399","5,363","6,578","5,870","5,130","3,424","6,013","4,812","3,055"
23,ROUTER Branch 4-Port PoE,PUBLIC SECTOR,135,703,"2,175",179,347,39,814,165,122,105,156,437,36
23,ROUTER Branch 4-Port PoE,SERVICE PROVIDER,482,119,321,419,8,22,122,49,3,570,267,239,"2,572"
23,ROUTER Branch 4-Port PoE,SMB,295,76,57,383,51,98,641,614,"1,136","3,501",29,90,45
24,SWITCH Industrial 8-Port PoE,COMMERCIAL,147,246,157,247,93,111,154,404,274,259,266,226,210
24,SWITCH Industrial 8-Port PoE,ENTERPRISE,683,137,262,562,383,855,316,554,607,584,525,987,530
24,SWITCH Industrial 8-Port PoE,OTHER,589,757,960,840,617,661,831,"1,139",819,"1,209","1,320","1,217","1,059"
24,SWITCH Industrial 8-Port PoE,PUBLIC SECTOR,358,545,"1,022",536,112,668,625,306,859,717,310,437,283
24,SWITCH Industrial 8-Port PoE,SERVICE PROVIDER,16,0,37,15,9,14,47,33,0,21,79,42,67
24,SWITCH Industrial 8-Port PoE,SMB,2,42,15,12,15,14,56,38,21,34,76,58,17
25,IP CONFERENCE PHONE,COMMERCIAL,246,257,370,408,341,346,327,327,213,763,207,208,145
25,IP CONFERENCE PHONE,ENTERPRISE,618,"1,382",503,566,489,812,758,421,"1,772","1,218","1,338",565,"2,029"
25,IP CONFERENCE PHONE,OTHER,"2,759","1,026","1,373","1,612","3,165","2,858","2,052","1,606","3,533","1,915","1,519","2,585",901
25,IP CONFERENCE PHONE,PUBLIC SECTOR,"1,493","2,326","1,182","1,510","1,593",793,785,876,"2,024",857,749,"1,116",653
25,IP CONFERENCE PHONE,SERVICE PROVIDER,22,53,8,2,148,13,89,16,139,45,10,4,13
25,IP CONFERENCE PHONE,SMB,59,80,50,31,50,44,28,31,27,30,30,38,6
26,SWITCH Industrial 8-Port PoE Compact,COMMERCIAL,84,57,96,101,240,68,178,197,280,169,136,154,146
26,SWITCH Industrial 8-Port PoE Compact,ENTERPRISE,474,128,93,260,155,151,166,57,86,47,177,65,88
26,SWITCH Industrial 8-Port PoE Compact,OTHER,"1,032",314,662,703,750,645,516,"1,124",650,"1,469",888,"1,661","1,421"
26,SWITCH Industrial 8-Port PoE Compact,PUBLIC SECTOR,391,286,-78,151,208,254,305,154,274,207,137,72,254
26,SWITCH Industrial 8-Port PoE Compact,SERVICE PROVIDER,26,0,4,2,1,17,4,5,1,3,2,7,9
26,SWITCH Industrial 8-Port PoE Compact,SMB,25,5,9,3,7,1,14,1,10,22,17,10,1
27,SWITCH Industrial Managed,COMMERCIAL,,,,,,,0,,0,1,0,0,0
27,SWITCH Industrial Managed,ENTERPRISE,,,,502,277,736,960,"1,480","2,472","1,880","1,920","2,864","2,240"
27,SWITCH Industrial Managed,OTHER,,,,0,,,,,,,0,0,0
27,SWITCH Industrial Managed,PUBLIC SECTOR,,,,,,,,0,0,0,0,0,0
27,SWITCH Industrial Managed,SERVICE PROVIDER,,,,,,,,,0,0,0,0,0
27,SWITCH Industrial Managed,SMB,,,,,,,0,0,0,0,1,0,0
28,ROUTER Edge Aggregation Fiber,COMMERCIAL,0,104,-28,276,112,4,2,2,121,2,33,30,55
28,ROUTER Edge Aggregation Fiber,ENTERPRISE,2,10,17,16,4,7,16,16,6,13,9,4,1
28,ROUTER Edge Aggregation Fiber,OTHER,"1,255",31,379,101,317,537,409,905,279,192,291,358,435
28,ROUTER Edge Aggregation Fiber,PUBLIC SECTOR,83,180,63,34,52,6,69,93,10,71,46,2,4
28,ROUTER Edge Aggregation Fiber,SERVICE PROVIDER,293,345,286,55,71,842,"1,372","1,022",765,"1,637",180,376,448
28,ROUTER Edge Aggregation Fiber,SMB,8,2,41,52,41,62,6,20,3,25,21,57,0
29,SWITCH Industrial 24-Port PoE,COMMERCIAL,,,,0,,0,29,42,1,33,24,37,18
29,SWITCH Industrial 24-Port PoE,ENTERPRISE,,,,,10,20,16,32,174,111,211,422,119
29,SWITCH Industrial 24-Port PoE,OTHER,,,,1,24,16,23,41,60,144,112,184,43
29,SWITCH Industrial 24-Port PoE,PUBLIC SECTOR,,,,,13,22,37,39,35,17,96,4,121
29,SWITCH Industrial 24-Port PoE,SERVICE PROVIDER,,,,,,,,,,,,0,1
29,SWITCH Industrial 24-Port PoE,SMB,,,,,,0,10,1,0,0,2,0,
30,ROUTER Branch 8-Port PoE,COMMERCIAL,99,506,388,131,"1,828",419,343,508,154,67,139,52,256
30,ROUTER Branch 8-Port PoE,ENTERPRISE,60,44,403,28,68,64,67,90,86,608,"1,020",962,127
30,ROUTER Branch 8-Port PoE,OTHER,94,131,61,53,112,249,252,193,333,350,209,753,614
30,ROUTER Branch 8-Port PoE,PUBLIC SECTOR,21,576,150,167,352,98,655,47,434,269,98,135,209
30,ROUTER Branch 8-Port PoE,SERVICE PROVIDER,0,2,5,1,0,117,-46,2,6,29,152,179,2
30,ROUTER Branch 8-Port PoE,SMB,5,0,6,1,4,27,7,1,13,14,16,11,0
