Cost Rank, Product Name  , Product Life Cycle ,ACTUAL UNITS,,,,,,,,,,,,Forecasted Units ,,,,,,
,,,,,,,,,,,,,,,Your Forecast FY26 Q2,Demand Planners' Forecast,Marketing Team's Forecast ,Data Science Team's Forecast,,,
20,SWITCH Data Center 100G Spine,Decline,127,195,175,147,218,361,450,577,508,525,441,506,,400,303,494,,,
21,SWITCH Core 100G/400G Fiber,Sustaining,115,87,81,74,137,100,174,108,225,199,225,208,,219,151,307,,,
22,IP PHONE Enterprise Desk,Decline,32314,43403,41773,28746,40155,33754,24936,30180,24413,21567,18955,13465,,9260,8703,20295,,,
23,ROUTER Branch 4-Port PoE,Decline,4486,10420,11120,3007,5776,8541,7271,8430,7874,7845,6185,6821,,6411,4200,6767,,,
24,SWITCH Industrial 8-Port PoE,Sustaining,1727,2453,2212,1229,2323,2029,2474,2580,2824,2575,2967,2165,,3123,2499,2323,,,
25,IP CONFERENCE PHONE,Decline,5124,3486,4128,5786,4866,4039,3277,7708,4828,3853,4516,3747,,3872,4244,4009,,,
26,SWITCH Industrial 8-Port PoE Compact,Sustaining,790,786,1220,1361,1136,1183,1537,1301,1917,1357,1969,1919,,1575,1575,1495,,,
27,SWITCH Industrial Managed,Sustaining,,,502,277,736,960,1480,2472,1881,1921,2864,2240,,2221,2244,1782,,,
28,ROUTER Edge Aggregation Fiber,Decline,672,758,534,597,1459,1874,2058,1184,1939,580,827,943,,700,200,456,,,
29,SWITCH Industrial 24-Port PoE,Sustaining,,,1,48,57,115,155,270,305,445,646,301,,423,366,474,,,
30,ROUTER Branch 8-Port PoE,Sustaining,1259,1013,381,2364,974,1278,841,1026,1337,1634,2092,1208,,1273,3700,1722,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cost Rank, Product Name  ,Demand Planning Team's Forecast Accuracy,,,,,,,Marketing Team's Forecast Accuracy,,,,,,,Data Science Team's Forecast Accuracy,,,,,
,,FY2026 Q1,,FY2025 Q4,,FY2025 Q3,,,FY2026 Q1,,FY2025 Q4,,FY2025 Q3,,,FY2026 Q1,,FY2025 Q4,,FY2025 Q3,
,,Accuracy,BIAS,Accuracy,BIAS,Accuracy,BIAS,,Accuracy,BIAS,Accuracy,BIAS,Accuracy,BIAS,,Accuracy,BIAS,Accuracy,BIAS,Accuracy,BIAS
1,SWITCH Enterprise 48-Port UPOE,81.9%,18.1%,96.6%,-3.4%,78.4%,21.6%,,93.5%,6.5%,97.3%,2.7%,99.3%,0.7%,,86.0%,14.0%,97.6%,-2.4%,83.5%,16.5%
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,88.5%,11.5%,73.7%,26.3%,90.0%,-10.0%,,56.7%,43.3%,79.8%,20.2%,97.4%,-2.6%,,93.1%,6.9%,71.0%,29.0%,98.1%,-1.9%
3,SWITCH Core 25G/100G Fiber,91.4%,-8.6%,92.9%,-7.1%,96.5%,3.5%,,82.6%,-17.4%,87.8%,12.2%,99.6%,0.4%,,74.9%,-25.1%,93.4%,-6.6%,97.4%,-2.6%
4,SWITCH Enterprise 24-Port PoE+,94.1%,5.9%,96.2%,3.8%,95.6%,4.4%,,83.5%,16.5%,69.8%,30.2%,88.1%,11.9%,,85.6%,14.4%,88.5%,11.5%,94.5%,5.5%
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,88.1%,-11.9%,78.3%,21.7%,99.2%,0.8%,,89.3%,-10.7%,58.1%,41.9%,89.6%,10.4%,,81.1%,-18.9%,63.6%,36.4%,86.4%,13.6%
6,ROUTER Core Modular Chassis,99.3%,0.7%,31.7%,-68.3%,51.4%,-48.6%,,91.6%,-8.4%,22.0%,-78.0%,19.0%,-81.0%,,14.8%,85.2%,65.3%,-34.7%,53.9%,-46.1%
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),85.8%,-14.2%,98.0%,-2.0%,88.3%,11.7%,,81.0%,-19.0%,98.1%,1.9%,96.1%,-3.9%,,82.9%,-17.1%,96.3%,-3.7%,95.1%,4.9%
8,SWITCH Enterprise 25G Fiber,98.4%,-1.6%,88.1%,-11.9%,97.5%,2.5%,,86.7%,13.3%,91.8%,-8.2%,93.4%,6.6%,,82.3%,17.7%,95.0%,5.0%,94.7%,5.3%
9,SWITCH Enterprise 24-Port UPOE,91.5%,-8.5%,97.2%,-2.8%,64.2%,35.8%,,83.0%,-17.0%,73.4%,26.6%,63.7%,36.3%,,67.5%,-32.5%,77.3%,-22.7%,76.9%,23.1%
10,ROUTER Enterprise Edge 10G/40G,94.3%,-5.7%,90.0%,10.0%,59.0%,-41.0%,,84.9%,-15.1%,97.7%,-2.3%,59.0%,-41.0%,,82.6%,-17.4%,19.9%,80.1%,57.9%,-42.1%
11,SECURITY FIREWALL Next-Generation_2,90.9%,9.1%,96.4%,-3.6%,78.2%,-21.8%,,64.6%,-35.4%,72.0%,-28.0%,68.9%,-31.1%,,93.7%,-6.3%,83.7%,-16.3%,76.9%,-23.1%
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,99.1%,-0.9%,96.9%,3.1%,93.4%,-6.6%,,81.7%,18.3%,93.9%,6.1%,74.7%,-25.3%,,88.9%,-11.1%,77.7%,22.3%,96.4%,-3.6%
13,SWITCH Core 100G Fiber,75.5%,24.5%,99.2%,0.8%,66.5%,33.5%,,28.4%,71.6%,0.0%,110.0%,8.6%,91.4%,,74.5%,25.5%,80.1%,-19.9%,46.1%,53.9%
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,81.3%,18.7%,76.3%,-23.7%,37.5%,62.5%,,96.3%,-3.7%,59.0%,-41.0%,86.0%,-14.0%,,95.1%,-4.9%,0.0%,0.0%,0.0%,0.0%
15,SECURITY FIREWALL Next-Generation_1,73.6%,-26.4%,97.4%,2.6%,87.3%,-12.7%,,68.8%,-31.2%,94.4%,-5.6%,48.4%,-51.6%,,84.0%,-16.0%,94.3%,-5.7%,86.5%,-13.5%
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,92.9%,7.1%,61.1%,38.9%,69.8%,-30.2%,,87.5%,12.5%,85.1%,14.9%,51.5%,-48.5%,,86.5%,-13.5%,71.3%,28.7%,58.0%,-42.0%
17,SWITCH Enterprise 24-Port PoE+ Compact,78.9%,-21.1%,56.8%,43.2%,69.3%,-30.7%,,42.1%,-57.9%,68.9%,-31.1%,37.4%,-62.6%,,62.1%,-37.9%,37.8%,62.2%,70.4%,-29.6%
18,SWITCH Data Center 25G/100G Leaf,90.2%,9.8%,65.8%,-34.2%,86.5%,13.5%,,98.8%,1.2%,59.4%,-40.6%,81.9%,-18.1%,,72.2%,27.8%,68.6%,-31.4%,79.2%,20.8%
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,99.0%,1.0%,92.0%,-8.0%,81.5%,-18.5%,,82.1%,-17.9%,90.3%,-9.7%,94.4%,-5.6%,,99.2%,0.8%,93.7%,6.3%,99.2%,-0.8%
20,SWITCH Data Center 100G Spine,88.9%,-11.1%,71.0%,29.0%,95.2%,-4.8%,,66.7%,-33.3%,79.9%,20.1%,79.7%,-20.3%,,94.1%,5.9%,65.8%,34.2%,99.6%,0.4%
21,SWITCH Core 100G/400G Fiber,67.0%,-33.0%,91.8%,8.2%,91.4%,-8.6%,,56.7%,-43.3%,94.3%,5.7%,82.0%,-18.0%,,87.5%,-12.5%,48.4%,51.6%,84.4%,-15.6%
22,IP PHONE Enterprise Desk,86.0%,-14.0%,98.6%,-1.4%,83.5%,-16.5%,,50.3%,-49.7%,95.3%,4.7%,87.4%,-12.6%,,77.8%,22.2%,89.7%,-10.3%,76.5%,23.5%
23,ROUTER Branch 4-Port PoE,96.8%,-3.2%,71.7%,28.3%,96.7%,-3.3%,,51.3%,-48.7%,98.4%,1.6%,65.7%,-34.3%,,94.9%,-5.1%,73.2%,26.8%,74.1%,-25.9%
24,SWITCH Industrial 8-Port PoE,61.3%,38.7%,88.8%,11.2%,0.0%,113.6%,,79.9%,20.1%,96.0%,4.0%,0.0%,107.6%,,93.7%,6.3%,94.2%,-5.8%,99.7%,0.3%
25,IP CONFERENCE PHONE,96.7%,3.3%,95.2%,4.8%,95.0%,5.0%,,44.6%,55.4%,45.1%,54.9%,67.2%,32.8%,,98.3%,-1.7%,80.9%,-19.1%,70.6%,29.4%
26,SWITCH Industrial 8-Port PoE Compact,75.5%,-24.5%,96.5%,-3.5%,93.9%,6.1%,,75.5%,-24.5%,63.5%,-36.5%,96.8%,3.2%,,86.6%,-13.4%,68.6%,-31.4%,76.2%,23.8%
27,SWITCH Industrial Managed,99.6%,-0.4%,71.6%,-28.4%,86.8%,-13.2%,,70.6%,-29.4%,64.6%,-35.4%,93.2%,-6.8%,,73.1%,-26.9%,68.9%,-31.1%,94.8%,5.2%
28,ROUTER Edge Aggregation Fiber,79.5%,-20.5%,91.2%,8.8%,0.0%,106.9%,,63.6%,-36.4%,72.6%,-27.4%,70.7%,29.3%,,95.2%,-4.8%,60.0%,40.0%,0.0%,208.6%
29,SWITCH Industrial 24-Port PoE,59.5%,40.5%,46.4%,-53.6%,67.4%,-32.6%,,81.7%,-18.3%,72.0%,-28.0%,45.2%,-54.8%,,35.9%,64.1%,66.6%,-33.4%,61.8%,-38.2%
30,ROUTER Branch 8-Port PoE,69.0%,31.0%,77.1%,-22.9%,80.8%,-19.2%,,0.0%,206.3%,80.5%,19.5%,0.0%,118.2%,,72.4%,27.6%,84.8%,-15.2%,36.1%,63.9%
